feature,importance
FLOOR_AREA_SQM,21394
FLOOR_LEVEL_RATIO,16348
GEO_STD_PRICE_K16,15913
GEO_AVG_PRICE_K16,15489
REMAINING_AGE,14540
GEO_STD_PRICE_K32,14038
TRANSACTION_YEAR,13309
GEO_STD_PRICE_K64,12606
GEO_STD_PRICE_K128,12234
GEO_AVG_PRICE_K32,11911
TRANSACTION_MONTH,11557
GEO_AVG_PRICE_K128,11476
GEO_AVG_PRICE_K64,11130
NEAREST_MRT_KM,11097
NEAREST_PRIMARY_KM,10856
NEAREST_SECONDARY_KM,10577
NEAREST_MALL_KM,10557
NEAREST_HAWKER_KM,10030
LONGITUDE,8801
LATITUDE,8798
FLOOR_LEVEL_MID,6491
MAX_FLOOR,5437
SECONDARY_COUNT_3.0KM,3878
HAWKER_COUNT_3.0KM,3698
PRIMARY_COUNT_3.0KM,3576
MRT_COUNT_2.0KM,3130
FLAT_TYPE_ENCODED,3061
PRIMARY_COUNT_2.0KM,3032
MALL_COUNT_3.0KM,3022
SECONDARY_COUNT_2.0KM,2834
HAWKER_COUNT_1.5KM,2160
MRT_COUNT_1.0KM,2042
MALL_COUNT_2.0KM,1964
PRIMARY_COUNT_1.0KM,1934
SECONDARY_COUNT_1.0KM,1884
FLAT_MODEL_improved,949
MRT_COUNT_0.5KM,902
FLAT_MODEL_model a,891
MALL_COUNT_1.0KM,710
IS_HIGH_FLOOR,608
HAWKER_COUNT_0.5KM,490
FLAT_MODEL_dbss,361
FLAT_MODEL_maisonette,358
TOWN_bishan,345
FLAT_MODEL_apartment,315
FLAT_MODEL_premium apartment,306
TOWN_marine parade,246
TOWN_bukit timah,231
FLAT_MODEL_new generation,203
FLAT_MODEL_standard,195
IS_HIGH_FLOOR_IN_PREMIUM_TOWN,183
TOWN_queenstown,178
TOWN_hougang,137
TOWN_serangoon,131
TOWN_toa payoh,114
TOWN_kallang/whampoa,96
FLAT_MODEL_simplified,95
TOWN_bukit panjang,90
TOWN_bedok,87
TOWN_tampines,86
TOWN_ang mo kio,86
TOWN_woodlands,82
TOWN_jurong west,76
TOWN_clementi,72
TOWN_jurong east,70
TOWN_sengkang,68
TOWN_choa chu kang,66
TOWN_bukit batok,64
TOWN_pasir ris,61
TOWN_bukit merah,48
TOWN_yishun,45
TOWN_geylang,45
TOWN_central area,35
FLAT_MODEL_model a2,28
TOWN_punggol,26
TOWN_sembawang,17
FLAT_MODEL_type s2,0
FLAT_MODEL_type s1,0
FLAT_MODEL_terrace,0
FLAT_MODEL_adjoined flat,0
FLAT_MODEL_2 room,0
FLAT_MODEL_premium maisonette,0
FLAT_MODEL_premium apartment loft,0
FLAT_MODEL_multi generation,0
FLAT_MODEL_model a maisonette,0
FLAT_MODEL_improved maisonette,0
FLAT_MODEL_3gen,0
